Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.84765625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
1.15660938e-08,3.00156250e-04
1.16060937e-08,3.67890625e-04
1.16460937e-08,4.79453125e-04
1.16860937e-08,5.89687500e-04
1.17260937e-08,6.28203125e-04
1.17660937e-08,5.71093750e-04
1.18060937e-08,4.58203125e-04
1.18460937e-08,3.78515625e-04
1.18860937e-08,3.91796875e-04
1.19260937e-08,4.80781250e-04
1.19660937e-08,5.56484375e-04
1.20060937e-08,5.35234375e-04
1.20460938e-08,4.02421875e-04
1.20860937e-08,2.32421875e-04
1.21260937e-08,1.24843750e-04
1.21660937e-08,1.30156250e-04
1.22060937e-08,2.16484375e-04
1.22460937e-08,3.08125000e-04
1.22860937e-08,3.42656250e-04
1.23260937e-08,3.25390625e-04
1.23660937e-08,2.98828125e-04
1.24060937e-08,3.00156250e-04
1.24460937e-08,3.22734375e-04
1.24860937e-08,3.34687500e-04
1.25260937e-08,3.17421875e-04
1.25660937e-08,2.92187500e-04
1.26060937e-08,3.06796875e-04
1.26460937e-08,3.74531250e-04
1.26860937e-08,4.54218750e-04
1.27260937e-08,4.64843750e-04
1.27660937e-08,3.51953125e-04
1.28060937e-08,1.43437500e-04
1.28460937e-08,-5.71093750e-05
1.28860937e-08,-1.34140625e-04
1.29260937e-08,-3.45312500e-05
1.29660937e-08,2.00546875e-04
1.30060937e-08,4.62187500e-04
1.30460937e-08,6.50781250e-04
1.30860937e-08,7.23828125e-04
1.31260937e-08,7.01250000e-04
1.31660937e-08,6.36171875e-04
1.32060937e-08,5.60468750e-04
1.32460937e-08,4.80781250e-04
1.32860937e-08,3.90468750e-04
1.33260937e-08,2.97500000e-04
1.33660937e-08,2.36406250e-04
1.34060937e-08,2.43046875e-04
1.34460937e-08,3.30703125e-04
1.34860937e-08,4.68828125e-04
1.35260937e-08,5.96328125e-04
1.35660937e-08,6.50781250e-04
1.36060937e-08,6.05625000e-04
1.36460937e-08,4.75468750e-04
1.36860937e-08,3.16093750e-04
1.37260937e-08,1.88593750e-04
1.37660937e-08,1.36796875e-04
1.38060937e-08,1.72656250e-04
1.38460937e-08,2.64296875e-04
1.38860937e-08,3.57265625e-04
1.39260937e-08,3.95781250e-04
1.39660937e-08,3.61250000e-04
1.40060937e-08,2.84218750e-04
1.40460937e-08,2.28437500e-04
1.40860937e-08,2.55000000e-04
1.41260937e-08,3.70546875e-04
1.41660937e-08,5.21953125e-04
1.42060937e-08,6.25546875e-04
1.42460937e-08,6.28203125e-04
1.42860937e-08,5.40546875e-04
1.43260937e-08,4.35625000e-04
1.43660937e-08,3.90468750e-04
1.44060937e-08,4.32968750e-04
1.44460937e-08,5.27265625e-04
1.44860937e-08,6.02968750e-04
1.45260937e-08,6.14921875e-04
1.45660937e-08,5.67109375e-04
1.46060937e-08,4.99375000e-04
1.46460937e-08,4.51562500e-04
1.46860937e-08,4.35625000e-04
1.47260937e-08,4.39609375e-04
1.47660937e-08,4.51562500e-04
1.48060937e-08,4.74140625e-04
1.48460937e-08,5.12656250e-04
1.48860937e-08,5.59140625e-04
1.49260938e-08,5.81718750e-04
1.49660937e-08,5.47187500e-04
1.50060937e-08,4.52890625e-04
1.50460938e-08,3.45312500e-04
1.50860937e-08,2.92187500e-04
1.51260937e-08,3.34687500e-04
1.51660937e-08,4.48906250e-04
1.52060937e-08,5.60468750e-04
1.52460937e-08,5.98984375e-04
1.52860937e-08,5.55156250e-04
1.53260938e-08,4.86093750e-04
1.53660937e-08,4.67500000e-04
1.54060937e-08,5.24609375e-04
1.54460937e-08,6.09609375e-04
1.54860937e-08,6.37500000e-04
1.55260937e-08,5.61796875e-04
1.55660937e-08,4.22343750e-04
1.56060938e-08,3.14765625e-04
1.56460937e-08,3.17421875e-04
1.56860937e-08,4.23671875e-04
1.57260938e-08,5.43203125e-04
1.57660937e-08,5.73750000e-04
1.58060937e-08,4.74140625e-04
1.58460937e-08,3.00156250e-04
1.58860938e-08,1.54062500e-04
